FILE NO,REPORT DATE,Month,Year,METHOD OF TRANSPORT,ETD,ETA DATE,EXPECTED TRANSIT TIME,ACTUAL TRANSIT TIME,ACTUAL DEPARTURE DATE,ACTUAL ARRIVAL DATE,CUSTOMER NAME,SHIPPER NAME,CONSIGNEE NAME,AGENT NAME,Lane Name,PORT OF LOAD NAME,PORT OF DCHG NAME,CONTAINER COUNT,CONTAINER TYPE,TYPE OF MOVE,PIECE COUNT,TOT KGS,CHARGEABLE WEIGHT,TOTAL BILLED TO ACCOUNT,Total Billed Less Duties,REVENUE,EXPENSE,DUTY BILLED,TOTAL HMF,TOTAL MPF,TOTAL DUTY BILLED,
1115204,4/22/2020,4,2020,OE,4/22/2020,5/9/2020,408,0,,,BERN UNLIMITED INC,BERN UNLIMITED C/O OCEANAIR WAREHO,ARIES COMMERICAL SA,ARIES COMMERICAL SA,PORT EVERGLADES --> BUENOS AIRES,PORT EVERGLADES,BUENOS AIRES,1,NA,,5,633.221,0, $350.00 , $350.00 , $350.00 , $253.13 , $-   ,0,0, $-   ,
1230595-01,1/29/2020,1,2020,OI,12/24/2019,1/29/2020,864,1072.82,12/19/2019,2/2/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION AIR FREIGHT (HK) LTD. EX,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",1,40HQ,,323,2950,2950, $11663.28 , $4098.78 , $11663.28 , $10801.33 , $7564.50 ,63.04,174.69, $7802.23 ,
1230712-01,1/21/2020,1,2020,OI,1/6/2020,1/21/2020,360,385.02,1/6/2020,1/22/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION FREIGHT (HK) LTD.,YANTIAN --> LOS ANGELES,YANTIAN,LOS ANGELES,2,40DV/40HQ,,676,6308,6308, $24836.13 , $6609.78 , $24836.13 , $23542.03 , $18226.35 ,151.89,420.91, $18799.15 ,
1230720-01,2/20/2020,2,2020,OI,1/7/2020,2/20/2020,1056,1058.32,1/8/2020,2/21/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION FREIGHT (HK) LTD.,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",4,40HQ/40HQ/40HQ/40HQ,,1376,13150,13150, $32750.01 , $15927.58 , $32750.01 , $30698.96 , $16822.43 ,280.37,519.76, $17622.56 ,
1230764-01,2/29/2020,2,2020,OI,1/14/2020,3/2/2020,1152,1139.39,1/14/2020,3/2/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION AIR FREIGHT (HK) LTD. EX,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",2,40HQ/40HQ,,732,6994,0, $18383.88 , $8339.80 , $18383.88 , $17213.58 , $10044.08 ,167.4,463.9, $10675.38 ,
1230804-01,3/13/2020,3,2020,OI,1/21/2020,3/13/2020,1248,1266.33,1/21/2020,3/14/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION FREIGHT (HK) LTD.,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",2,40HQ/40HQ,,614,5849,5849, $20609.89 , $8667.04 , $20609.89 , $19459.86 , $11942.85 ,199.05,519.76, $12661.66 ,
1231104-01,5/13/2020,5,2020,OI,4/8/2020,5/13/2020,840,834.34,4/8/2020,5/13/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION FREIGHT (HK) LTD.,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",2,40HQ/20',,725,5854,5530, $7586.60 , $7586.60 , $7586.60 , $6734.60 , $-   ,85.28,236.32, $321.60 ,
1231170-01,5/20/2020,5,2020,OI,4/12/2020,5/20/2020,912,897.09,4/12/2020,5/20/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION AIR FREIGHT (HK) LTD. EX,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",1,40HQ,,404,3665.1,3665.1, $4197.24 , $4197.24 , $4197.24 , $3712.14 , $-   ,85.45,236.79, $322.24 ,
1231234-01,6/10/2020,6,2020,OI,4/26/2020,6/10/2020,1080,1103.56,4/25/2020,6/10/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION AIR FREIGHT (HK) LTD. EX,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",1,20',,175,1385,1385, $3715.04 , $3715.04 , $3715.04 , $3127.94 , $-   ,31.83,88.21, $120.04 ,
1231419-01,7/1/2020,7,2020,OI,5/18/2020,7/1/2020,1056,1047.39,5/18/2020,7/1/2020,BERN UNLIMITED INC,LUCKY BELL PLASTIC FACTORY LTD,BERN UNLIMITED INC,COHESION AIR FREIGHT (HK) LTD. EX,"YANTIAN --> BOSTON, MA",YANTIAN,"BOSTON, MA",1,40HQ,,452,3367,3367, $4145.13 , $4145.13 , $4145.13 , $3574.53 , $-   ,67.65,187.48, $255.13 ,
